"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.092019270E-1,6.504154358E1,2.545337330E1,1.471310635E1,5.600000024E-1,3.363999939E2,6.944786549E0,7.482116699E0
1.671809323E0,6.504145653E1,2.545342025E1,2.387726864E1,5.699999928E-1,3.363999939E2,6.290751457E0,7.301393509E0
2.672506145E0,6.504149069E1,2.545331666E1,2.030455244E1,4.399999976E-1,3.363999939E2,5.213240147E0,6.584143639E0
3.671920311E0,6.504144391E1,2.545327177E1,2.189849969E1,7.200000286E-1,2.123000031E2,3.790092468E0,4.157062531E0
4.433944842E0,6.504146919E1,2.545322173E1,2.215617539E1,8.999999762E-1,2.123000031E2,3.790092468E0,4.694061279E0
5.433707185E0,6.504147025E1,2.545320164E1,2.288230831E1,1.080000043E0,2.211000061E2,3.790092468E0,3.314610481E0
6.434230987E0,6.504146211E1,2.545318712E1,2.296690486E1,1.110000014E0,2.166999969E2,3.790092468E0,2.587922096E0
7.433797185E0,6.504145858E1,2.545319304E1,2.073424080E1,1.139999986E0,2.200000000E2,3.790092468E0,2.500000000E0
8.433728487E0,6.504145475E1,2.545317584E1,2.028685298E1,1.110000014E0,2.148999939E2,3.790092468E0,2.500000000E0
9.434182132E0,6.504144978E1,2.545315640E1,2.045317388E1,1.120000005E0,2.233999939E2,3.790092468E0,2.500000000E0
1.043386531E1,6.504144474E1,2.545313708E1,1.996214619E1,1.200000048E0,2.346000061E2,3.790092468E0,2.500000000E0
1.143433354E1,6.504144121E1,2.545311506E1,1.952556101E1,1.200000048E0,2.435000000E2,3.790092468E0,2.500000000E0
1.243433484E1,6.504143768E1,2.545308825E1,1.928733963E1,1.220000029E0,2.451000061E2,3.790092468E0,2.500000000E0
1.343385161E1,6.504143470E1,2.545305962E1,1.925566083E1,1.240000010E0,2.471999969E2,3.790092468E0,2.500000000E0
1.443449848E1,6.504143204E1,2.545303052E1,1.928611565E1,1.279999971E0,2.518000031E2,3.790092468E0,2.500000000E0
1.543405890E1,6.504143077E1,2.545300042E1,1.902341797E1,1.309999943E0,2.592999878E2,3.790092468E0,2.500000000E0
1.643438005E1,6.504142949E1,2.545296785E1,1.954435043E1,1.350000024E0,2.637000122E2,3.790092468E0,2.500000000E0
1.743417885E1,6.504142993E1,2.545293808E1,2.001010670E1,1.330000043E0,2.691000061E2,3.790092468E0,2.500000000E0
1.843410869E1,6.504143227E1,2.545290824E1,2.056186074E1,1.330000043E0,2.748999939E2,3.790092468E0,2.500000000E0
1.943435020E1,6.504143509E1,2.545287916E1,2.067110979E1,1.320000052E0,2.772000122E2,3.790092468E0,2.500000000E0
2.043395812E1,6.504143927E1,2.545284657E1,2.084261383E1,1.340000033E0,2.783999939E2,3.790092468E0,2.500000000E0
2.143433645E1,6.504144363E1,2.545281604E1,2.089137629E1,1.350000024E0,2.827000122E2,3.790092468E0,2.500000000E0
2.243397801E1,6.504144835E1,2.545278482E1,2.094880553E1,1.460000038E0,2.841000061E2,3.790092468E0,2.500000000E0
2.343367733E1,6.504145471E1,2.545275925E1,2.121924737E1,1.299999952E0,2.987999878E2,3.790092468E0,2.500000000E0
2.443447572E1,6.504146092E1,2.545273585E1,2.120264112E1,1.139999986E0,2.905000000E2,3.790092468E0,2.500000000E0
2.543444030E1,6.504147157E1,2.545271676E1,2.141247397E1,1.309999943E0,3.172999878E2,3.790092468E0,2.500000000E0
2.643379312E1,6.504147961E1,2.545269004E1,2.154503661E1,1.340000033E0,2.990000000E2,3.790092468E0,2.500000000E0
2.743408457E1,6.504148830E1,2.545266459E1,2.134465234E1,1.350000024E0,3.018999939E2,3.790092468E0,2.500000000E0
2.843425905E1,6.504149743E1,2.545264049E1,2.156003951E1,1.330000043E0,3.043999939E2,3.790092468E0,2.500000000E0
2.943384702E1,6.504150520E1,2.545261518E1,2.175504136E1,1.340000033E0,3.037999878E2,3.790092468E0,2.500000000E0
3.043446957E1,6.504151336E1,2.545259039E1,2.201486244E1,1.379999995E0,3.086000061E2,3.790092468E0,2.500000000E0
3.143452280E1,6.504152230E1,2.545256564E1,2.198806212E1,1.360000014E0,3.072000122E2,3.790092468E0,2.500000000E0
3.243388254E1,6.504153119E1,2.545254150E1,2.187044156E1,1.330000043E0,3.072999878E2,3.790092468E0,2.500000000E0
3.343415113E1,6.504154081E1,2.545251758E1,2.204847503E1,1.399999976E0,3.126000061E2,3.790092468E0,2.500000000E0
3.443463087E1,6.504155194E1,2.545249403E1,2.190766029E1,1.370000005E0,3.147000122E2,3.790092468E0,2.500000000E0
3.543379650E1,6.504156206E1,2.545247331E1,2.185595755E1,1.360000014E0,3.143999939E2,3.790092468E0,2.500000000E0
3.643414415E1,6.504157273E1,2.545245284E1,2.213317306E1,1.440000057E0,3.157000122E2,3.790092468E0,2.500000000E0
3.743418686E1,6.504158267E1,2.545243091E1,2.221171929E1,1.399999976E0,3.142999878E2,3.790092468E0,2.500000000E0
3.843453051E1,6.504159073E1,2.545240998E1,2.187870631E1,1.309999943E0,3.137999878E2,3.790092468E0,2.500000000E0
3.943455556E1,6.504159921E1,2.545238784E1,2.174460661E1,1.299999952E0,3.153999939E2,3.790092468E0,2.500000000E0
4.043434342E1,6.504160685E1,2.545236446E1,2.163540947E1,1.360000014E0,3.100000000E2,3.790092468E0,2.500000000E0
